project,directory,hub_score,change_count
openstack/cinder,cinder/volume,24,2117
openstack/cinder,cinder,23,303
openstack/cinder,cinder/cmd,23,97
openstack/cinder,cinder/backup,22,265
openstack/cinder,cinder/scheduler,22,88
openstack/cinder,cinder/tests,22,2267
openstack/cinder,cinder/api,22,272
openstack/cinder,cinder/message,22,25
openstack/cinder,cinder/db,22,215
openstack/cinder,cinder/objects,22,69
openstack/cinder,cinder/group,22,14
openstack/cinder,cinder/interface,22,28
openstack/cinder,cinder/transfer,22,14
openstack/cinder,cinder/image,21,169
openstack/cinder,cinder/compute,21,20
openstack/cinder,cinder/privsep,21,27
openstack/cinder,cinder/common,21,36
openstack/cinder,cinder/brick,21,33
openstack/cinder,cinder/zonemanager,21,21
openstack/cinder,cinder/policies,21,80
openstack/cinder,cinder/keymgr,21,4
openstack/cinder,cinder/wsgi,21,6
openstack/cinder,cinder/quota,12,2
openstack/cinder,cinder/privileged,4,1
openstack/cinder,cinder/locale,1,37
openstack/glance,glance/common,13,242
openstack/glance,glance/tests,12,659
openstack/glance,glance,12,117
openstack/glance,glance/api,12,240
openstack/glance,glance/db,12,144
openstack/glance,glance/image_cache,12,34
openstack/glance,glance/cmd,12,77
openstack/glance,glance/domain,12,31
openstack/glance,glance/async_,11,118
openstack/glance,glance/hacking,11,7
openstack/glance,glance/policies,10,60
openstack/glance,glance/quota,9,14
openstack/glance,glance/registry,8,6
openstack/glance,glance/async,2,1
openstack/heat,heat/engine,13,507
openstack/heat,heat/tests,13,466
openstack/heat,heat/api,10,46
openstack/heat,heat/objects,9,16
openstack/heat,heat/cmd,9,24
openstack/heat,heat/db,9,83
openstack/heat,heat/common,8,125
openstack/heat,heat_integrationtests,8,116
openstack/heat,heat/rpc,6,5
openstack/heat,heat/hacking,4,4
openstack/heat,heat/policies,4,27
openstack/heat,heat/cloudinit,3,12
openstack/heat,heat/scaling,3,2
openstack/heat,heat/httpd,2,2
openstack/heat,heat/wsgi,2,2
openstack/heat,heat/locale,2,16
openstack/heat,heat_upgradetests,1,1
openstack/horizon,openstack_dashboard,18,1181
