project,directory,hub_score,change_count
openstack/adjutant,adjutant/actions,19,35
openstack/adjutant,adjutant/api,19,24
openstack/adjutant,adjutant/common,19,20
openstack/adjutant,adjutant/tasks,19,14
openstack/adjutant,adjutant/startup,19,6
openstack/adjutant,adjutant/config,19,10
openstack/adjutant,adjutant/settings.py,19,9
openstack/adjutant,adjutant/wsgi.py,19,3
openstack/adjutant,adjutant/notifications,19,7
openstack/adjutant,adjutant/commands,19,3
openstack/adjutant,adjutant/exceptions.py,16,3
openstack/adjutant,adjutant/plugins.py,16,2
openstack/adjutant,adjutant/feature_set.py,15,3
openstack/adjutant,adjutant/core.py,15,2
openstack/adjutant,adjutant/test_settings.py,15,2
openstack/adjutant,conf/conf.yaml,15,2
openstack/adjutant,adjutant/urls.py,14,3
openstack/adjutant,adjutant/middleware.py,14,3
openstack/adjutant,adjutant/__init__.py,14,1
openstack/adjutant,adjutant/utils.py,14,1
openstack/adjutant,adjutant/cmd,2,1
openstack/adjutant,adjutant/i18n.py,2,1
openstack/adjutant,adjutant/tests,2,1
openstack/barbican,barbican/plugin,11,83
openstack/barbican,barbican/tests,11,139
openstack/barbican,barbican/common,11,149
openstack/barbican,barbican/model,11,37
openstack/barbican,functionaltests/api,11,55
openstack/barbican,barbican/cmd,10,38
openstack/barbican,barbican/api,9,79
openstack/barbican,barbican/hacking,9,9
openstack/barbican,barbican/objects,9,5
openstack/barbican,functionaltests/common,9,3
openstack/barbican,barbican/queue,7,8
openstack/barbican,barbican/tasks,6,4
openstack/barbican,functionaltests/run_tests.sh,1,1
openstack/barbican,functionaltests/run_tests_parallel.sh,1,1
openstack/blazar,blazar/tests,14,98
openstack/blazar,blazar/manager,14,31
openstack/blazar,blazar/api,14,18
openstack/blazar,blazar/utils,13,35
openstack/blazar,blazar/plugins,12,38
openstack/blazar,blazar/db,12,33
openstack/blazar,blazar/cmd,11,5
openstack/blazar,blazar/hacking,10,4
openstack/blazar,blazar/policy.py,9,12
openstack/blazar,blazar/status.py,9,8
openstack/blazar,blazar/enforcement,7,10
openstack/blazar,blazar/opts.py,7,4
openstack/blazar,blazar/policies,6,4
openstack/blazar,blazar/config.py,4,9
openstack/blazar,blazar/rpc.py,4,4
openstack/blazar,blazar/context.py,4,3
openstack/blazar,blazar/exceptions.py,2,1
openstack/ceilometer,ceilometer/tests,38,197
openstack/ceilometer,ceilometer/publisher,31,112
openstack/ceilometer,ceilometer/compute,27,81
openstack/ceilometer,ceilometer/polling,27,87
openstack/ceilometer,ceilometer/pipeline,24,24
openstack/ceilometer,ceilometer/cmd,24,15
openstack/ceilometer,ceilometer/objectstore,23,16
openstack/ceilometer,ceilometer/ipmi,23,9
openstack/ceilometer,ceilometer/meter,23,22
openstack/ceilometer,ceilometer/network,23,17
openstack/ceilometer,ceilometer/volume,21,9
openstack/ceilometer,ceilometer/notification.py,21,11
openstack/ceilometer,ceilometer/event,21,12
openstack/ceilometer,ceilometer/nova_client.py,21,3
openstack/ceilometer,ceilometer/declarative.py,21,11
openstack/ceilometer,ceilometer/neutron_client.py,21,5
openstack/ceilometer,ceilometer/sample.py,21,14
openstack/ceilometer,ceilometer/agent.py,20,9
openstack/ceilometer,ceilometer/messaging.py,20,3
openstack/ceilometer,ceilometer/cache_utils.py,20,26
openstack/ceilometer,ceilometer/image,20,2
openstack/ceilometer,ceilometer/hardware,14,9
openstack/ceilometer,ceilometer/opts.py,13,17
openstack/ceilometer,ceilometer/gnocchi_client.py,8,19
openstack/ceilometer,ceilometer/hacking,7,2
openstack/ceilometer,ceilometer/data,6,13
openstack/ceilometer,ceilometer/telemetry,5,9
openstack/ceilometer,ceilometer/service_base.py,5,1
openstack/ceilometer,ceilometer/keystone_client.py,5,2
openstack/ceilometer,ceilometer/monasca_client.py,5,1
openstack/ceilometer,ceilometer/monasca_opts.py,5,1
openstack/ceilometer,ceilometer/container,3,1
