project,src,dst,weight
openstack/nova,nova,keystoneauth1,5
openstack/nova,nova,oslo_log,20
openstack/nova,nova,nova/conf,16
openstack/nova,nova,os,8
openstack/nova,nova,random,2
openstack/nova,nova,sys,5
openstack/nova,nova,oslo_concurrency,5
openstack/nova,nova,oslo_messaging,5
openstack/nova,nova,oslo_service,4
openstack/nova,nova,oslo_utils,21
openstack/nova,nova,nova/api,2
openstack/nova,nova,nova/baserpc,1
openstack/nova,nova,nova/conductor,1
openstack/nova,nova,nova/context,6
openstack/nova,nova,nova/debugger,2
openstack/nova,nova,nova/exception,11
openstack/nova,nova,nova/i18n,9
openstack/nova,nova,nova/objects,11
openstack/nova,nova,nova/rpc,6
openstack/nova,nova,nova/servicegroup,1
openstack/nova,nova,nova/utils,7
openstack/nova,nova,nova/version,2
openstack/nova,nova,nova/wsgi,1
openstack/nova,nova,webob,3
openstack/nova,nova,logging,1
openstack/nova,nova,oslo_policy,3
openstack/nova,nova,nova/db,8
openstack/nova,nova,nova/middleware,1
openstack/nova,nova,nova/policy,2
openstack/nova,nova,pbr,1
openstack/nova,nova,configparser,1
openstack/nova,nova,oslo_config,4
openstack/nova,nova,oslo_serialization,3
openstack/nova,nova,copy,5
openstack/nova,nova,sqlalchemy,2
openstack/nova,nova,nova/limit,2
openstack/nova,nova,nova/scheduler,2
openstack/nova,nova,re,3
openstack/nova,nova,nova/policies,1
openstack/nova,nova,nova/virt,2
openstack/nova,nova,nova/monkey_patch,1
openstack/nova,nova,abc,2
openstack/nova,nova,builtins,1
openstack/nova,nova,collections,2
openstack/nova,nova,contextlib,3
openstack/nova,nova,datetime,2
openstack/nova,nova,inspect,4
openstack/nova,nova,itertools,1
openstack/nova,nova,pprint,1
openstack/nova,nova,unittest,1
openstack/nova,nova,fixtures,1
openstack/nova,nova,oslo_cache,2
openstack/nova,nova,oslo_versionedobjects,1
openstack/nova,nova,oslotest,2
openstack/nova,nova,testtools,1
openstack/nova,nova,nova/compute,2
openstack/nova,nova,nova/quota,1
openstack/nova,nova,nova/tests,2
openstack/nova,nova,eventlet,7
openstack/nova,nova,__original_module_threading,1
openstack/nova,nova,threading,1
openstack/nova,nova,pydev,1
openstack/nova,nova,pydevd,1
openstack/nova,nova,functools,3
openstack/nova,nova,base64,1
openstack/nova,nova,binascii,1
openstack/nova,nova,io,1
openstack/nova,nova,typing,1
openstack/nova,nova,castellan,3
openstack/nova,nova,cryptography,5
openstack/nova,nova,paramiko,1
openstack/nova,nova,oslo_context,2
openstack/nova,nova,oslo_db,1
openstack/nova,nova,hashlib,1
openstack/nova,nova,shutil,1
openstack/nova,nova,tempfile,1
openstack/nova,nova,netaddr,1
openstack/nova,nova,openstack,2
openstack/nova,nova,os_resource_classes,1
openstack/nova,nova,os_service_types,1
openstack/nova,nova,nova/safe_utils,2
openstack/nova,nova,nova/notifications,2
openstack/nova,nova,oslo_i18n,1
openstack/nova,nova,nova/cache_utils,1
openstack/nova,nova,nova/loadables,2
openstack/nova,nova,nova/profiler,1
openstack/nova,nova,oslo_middleware,1
openstack/nova,nova,socket,1
openstack/nova,nova,ssl,1
openstack/nova,nova,greenlet,1
openstack/nova,nova/cmd,functools,3
openstack/nova,nova/cmd,os,3
openstack/nova,nova/cmd,sys,13
openstack/nova,nova/cmd,oslo_config,3
openstack/nova,nova/cmd,nova/conf,28
openstack/nova,nova/cmd,nova/config,12
openstack/nova,nova/cmd,nova/context,3
openstack/nova,nova/cmd,nova/db,8
openstack/nova,nova/cmd,nova/exception,5
openstack/nova,nova/cmd,nova/i18n,4
openstack/nova,nova/cmd,nova/policies,1
openstack/nova,nova/cmd,nova/version,10
openstack/nova,nova/cmd,nova/monkey_patch,1
openstack/nova,nova/cmd,nova/console,2
openstack/nova,nova/cmd,oslo_log,9
openstack/nova,nova/cmd,oslo_reports,14
openstack/nova,nova/cmd,nova/objects,22
openstack/nova,nova/cmd,nova/service,6
openstack/nova,nova/cmd,oslo_concurrency,2
openstack/nova,nova/cmd,nova/conductor,3
openstack/nova,nova/cmd,argparse,1
openstack/nova,nova/cmd,inspect,1
openstack/nova,nova/cmd,collections,1
openstack/nova,nova/cmd,re,1
openstack/nova,nova/cmd,time,1
openstack/nova,nova/cmd,traceback,2
openstack/nova,nova/cmd,typing,1
openstack/nova,nova/cmd,urllib,1
openstack/nova,nova/cmd,dateutil,1
openstack/nova,nova/cmd,keystoneauth1,2
openstack/nova,nova/cmd,neutronclient,1
openstack/nova,nova/cmd,os_brick,1
openstack/nova,nova/cmd,os_resource_classes,1
openstack/nova,nova/cmd,oslo_db,1
openstack/nova,nova/cmd,oslo_messaging,1
openstack/nova,nova/cmd,oslo_serialization,1
openstack/nova,nova/cmd,oslo_utils,2
openstack/nova,nova/cmd,prettytable,1
openstack/nova,nova/cmd,sqlalchemy,3
openstack/nova,nova/cmd,nova/compute,4
openstack/nova,nova/cmd,nova/network,2
openstack/nova,nova/cmd,nova/rpc,1
openstack/nova,nova/cmd,nova/scheduler,3
openstack/nova,nova/cmd,nova/utils,3
openstack/nova,nova/cmd,nova/virt,2
openstack/nova,nova/cmd,nova/volume,2
openstack/nova,nova/cmd,pdb,1
openstack/nova,nova/cmd,microversion_parse,1
openstack/nova,nova/cmd,oslo_upgradecheck,2
openstack/nova,nova/cmd,shlex,1
openstack/nova,nova/cmd,os_vif,1
openstack/nova,nova/cmd,oslo_privsep,1
openstack/nova,nova/pci,typing,6
openstack/nova,nova/pci,oslo_serialization,3
openstack/nova,nova/pci,nova/exception,6
openstack/nova,nova/pci,nova/i18n,3
openstack/nova,nova/pci,nova/objects,9
openstack/nova,nova/pci,jsonschema,1
openstack/nova,nova/pci,oslo_log,5
openstack/nova,nova/pci,oslo_utils,3
openstack/nova,nova/pci,nova/conf,1
openstack/nova,nova/pci,nova/context,2
openstack/nova,nova/pci,nova/network,1
openstack/nova,nova/pci,abc,1
openstack/nova,nova/pci,copy,2
openstack/nova,nova/pci,re,2
openstack/nova,nova/pci,string,1
openstack/nova,nova/pci,glob,1
openstack/nova,nova/pci,os,1
openstack/nova,nova/pci,oslo_config,2
openstack/nova,nova/pci,collections,1
openstack/nova,nova/limit,functools,1
openstack/nova,nova/limit,typing,2
openstack/nova,nova/limit,oslo_limit,4
openstack/nova,nova/limit,oslo_log,2
openstack/nova,nova/limit,nova/conf,3
openstack/nova,nova/limit,nova/exception,2
openstack/nova,nova/limit,nova/objects,2
openstack/nova,nova/limit,os_resource_classes,1
openstack/nova,nova/limit,nova/quota,1
openstack/nova,nova/limit,nova/scheduler,2
openstack/nova,nova/network,copy,1
openstack/nova,nova/network,functools,2
openstack/nova,nova/network,inspect,1
openstack/nova,nova/network,time,1
openstack/nova,nova/network,typing,1
openstack/nova,nova/network,keystoneauth1,1
openstack/nova,nova/network,neutronclient,4
openstack/nova,nova/network,oslo_concurrency,1
openstack/nova,nova/network,oslo_log,3
openstack/nova,nova/network,oslo_utils,7
openstack/nova,nova/network,nova/accelerator,1
openstack/nova,nova/network,nova/compute,1
openstack/nova,nova/network,nova/conf,1
openstack/nova,nova/network,nova/context,2
openstack/nova,nova/network,nova/exception,4
openstack/nova,nova/network,nova/i18n,4
openstack/nova,nova/network,nova/objects,3
openstack/nova,nova/network,nova/pci,3
openstack/nova,nova/network,nova/policies,1
openstack/nova,nova/network,nova/profiler,1
openstack/nova,nova/network,nova/service_auth,1
openstack/nova,nova/network,nova/utils,3
openstack/nova,nova/network,os_vif,1
openstack/nova,nova/network,oslo_config,1
openstack/nova,nova/network,urllib,1
openstack/nova,nova/network,netaddr,2
openstack/nova,nova/network,webob,1
openstack/nova,nova/network,oslo_serialization,1
openstack/nova,nova/tests,os,53
openstack/nova,nova/tests,oslo_serialization,107
openstack/nova,nova/tests,unittest,413
openstack/nova,nova/tests,oslo_utils,422
openstack/nova,nova/tests,nova/availability_zones,5
openstack/nova,nova/tests,nova/compute,252
openstack/nova,nova/tests,nova/conf,89
openstack/nova,nova/tests,nova/context,202
openstack/nova,nova/tests,nova/db,94
openstack/nova,nova/tests,nova/objects,461
openstack/nova,nova/tests,nova/test,415
openstack/nova,nova/tests,io,20
openstack/nova,nova/tests,castellan,8
openstack/nova,nova/tests,cryptography,3
openstack/nova,nova/tests,oslo_concurrency,22
openstack/nova,nova/tests,paramiko,1
openstack/nova,nova/tests,nova/crypto,2
openstack/nova,nova/tests,nova/exception,287
openstack/nova,nova/tests,nova/utils,47
openstack/nova,nova/tests,datetime,62
openstack/nova,nova/tests,tempfile,11
openstack/nova,nova/tests,eventlet,21
openstack/nova,nova/tests,fixtures,111
openstack/nova,nova/tests,keystoneauth1,32
openstack/nova,nova/tests,netaddr,7
openstack/nova,nova/tests,openstack,3
openstack/nova,nova/tests,oslo_config,55
openstack/nova,nova/tests,oslo_context,6
openstack/nova,nova/tests,nova/rpc,8
openstack/nova,nova/tests,copy,71
openstack/nova,nova/tests,nova/exception_wrapper,2
openstack/nova,nova/tests,lxml,13
openstack/nova,nova/tests,oslo_service,8
openstack/nova,nova/tests,testtools,28
openstack/nova,nova/tests,nova/manager,1
openstack/nova,nova/tests,nova/service,2
openstack/nova,nova/tests,uuid,2
openstack/nova,nova/tests,oslo_log,40
openstack/nova,nova/tests,oslo_messaging,17
openstack/nova,nova/tests,nova/config,7
openstack/nova,nova/tests,hashlib,1
openstack/nova,nova/tests,hmac,1
openstack/nova,nova/tests,pickle,1
openstack/nova,nova/tests,re,12
openstack/nova,nova/tests,requests,9
openstack/nova,nova/tests,webob,79
openstack/nova,nova/tests,nova/api,212
openstack/nova,nova/tests,nova/block_device,11
openstack/nova,nova/tests,nova/network,62
openstack/nova,nova/tests,nova/virt,267
openstack/nova,nova/tests,collections,36
openstack/nova,nova/tests,cinderclient,7
openstack/nova,nova/tests,requests_mock,3
openstack/nova,nova/tests,nova/volume,11
openstack/nova,nova/tests,nova/baserpc,1
openstack/nova,nova/tests,jsonschema,3
openstack/nova,nova/tests,pprint,5
openstack/nova,nova/tests,nova/version,5
openstack/nova,nova/tests,nova/notifications,9
openstack/nova,nova/tests,importlib,3
openstack/nova,nova/tests,inspect,5
openstack/nova,nova/tests,osprofiler,1
openstack/nova,nova/tests,fnmatch,1
openstack/nova,nova/tests,errno,5
openstack/nova,nova/tests,platform,3
openstack/nova,nova/tests,socket,6
openstack/nova,nova/tests,sys,14
openstack/nova,nova/tests,nova/image,12
openstack/nova,nova/tests,futurist,3
openstack/nova,nova/tests,oslo_db,28
openstack/nova,nova/tests,oslotest,4
openstack/nova,nova/tests,sqlalchemy,14
openstack/nova,nova/tests,nova/conductor,14
openstack/nova,nova/tests,functools,12
openstack/nova,nova/tests,nova/safe_utils,2
openstack/nova,nova/tests,nova/wsgi,1
openstack/nova,nova/tests,nova/service_auth,3
openstack/nova,nova/tests,ddt,34
openstack/nova,nova/tests,oslo_limit,14
openstack/nova,nova/tests,nova/limit,17
openstack/nova,nova/tests,nova/quota,10
openstack/nova,nova/tests,textwrap,4
openstack/nova,nova/tests,pycodestyle,1
openstack/nova,nova/tests,nova/hacking,1
openstack/nova,nova/tests,oslo_policy,8
openstack/nova,nova/tests,nova/policies,83
openstack/nova,nova/tests,nova/policy,7
openstack/nova,nova/tests,nova/cache_utils,1
openstack/nova,nova/tests,nova/scheduler,87
openstack/nova,nova/tests,nova/weights,1
openstack/nova,nova/tests,nova/cmd,11
openstack/nova,nova/tests,warnings,2
openstack/nova,nova/tests,oslo_reports,2
openstack/nova,nova/tests,nova/console,18
openstack/nova,nova/tests,oslo_upgradecheck,1
openstack/nova,nova/tests,contextlib,11
openstack/nova,nova/tests,glob,3
openstack/nova,nova/tests,nova/pci,26
openstack/nova,nova/tests,neutronclient,12
openstack/nova,nova/tests,os_vif,9
openstack/nova,nova/tests,os_resource_classes,16
openstack/nova,nova/tests,os_traits,13
openstack/nova,nova/tests,nova,7
openstack/nova,nova/tests,nova/servicegroup,8
openstack/nova,nova/tests,nova/filters,1
openstack/nova,nova/tests,nova/loadables,2
openstack/nova,nova/tests,itertools,3
openstack/nova,nova/tests,time,26
openstack/nova,nova/tests,urllib,14
openstack/nova,nova/tests,traceback,3
openstack/nova,nova/tests,oslo_versionedobjects,21
openstack/nova,nova/tests,iso8601,9
openstack/nova,nova/tests,cursive,2
openstack/nova,nova/tests,glanceclient,4
openstack/nova,nova/tests,nova/storage,4
openstack/nova,nova/tests,os_brick,13
openstack/nova,nova/tests,os_win,12
openstack/nova,nova/tests,grp,1
openstack/nova,nova/tests,pwd,1
openstack/nova,nova/tests,nova/privsep,12
openstack/nova,nova/tests,base64,2
openstack/nova,nova/tests,shutil,2
openstack/nova,nova/tests,binascii,4
openstack/nova,nova/tests,random,3
openstack/nova,nova/tests,signal,1
openstack/nova,nova/tests,threading,4
openstack/nova,nova/tests,psutil,1
openstack/nova,nova/tests,tarfile,1
openstack/nova,nova/tests,oslo_vmware,27
openstack/nova,nova/tests,ironicclient,4
openstack/nova,nova/tests,tooz,1
openstack/nova,nova/tests,operator,2
openstack/nova,nova/tests,zvmconnector,2
openstack/nova,nova/tests,string,3
openstack/nova,nova/tests,nova/accelerator,3
openstack/nova,nova/tests,microversion_parse,2
openstack/nova,nova/tests,packaging,1
openstack/nova,nova/tests,alembic,5
openstack/nova,nova/tests,migrate,4
openstack/nova,nova/tests,dateutil,2
openstack/nova,nova/tests,oslo_middleware,2
openstack/nova,nova/tests,routes,2
openstack/nova,nova/tests,testscenarios,5
openstack/nova,nova/tests,http,1
openstack/nova,nova/tests,codecs,1
openstack/nova,nova/tests,nova/keymgr,1
openstack/nova,nova/tests,keystoneclient,1
openstack/nova,nova/tests,ssl,1
openstack/nova,nova/tests,struct,1
openstack/nova,nova/tests,typing,2
openstack/nova,nova/tests,logging,2
openstack/nova,nova/tests,oslo_privsep,1
openstack/nova,nova/tests,wsgi_intercept,1
openstack/nova,nova/tests,zlib,1
openstack/nova,nova/tests,nova/monkey_patch,1
openstack/nova,nova/tests,placement,3
openstack/nova,nova/tests,yaml,1
openstack/nova,nova/scheduler,oslo_messaging,2
openstack/nova,nova/scheduler,nova/conf,21
openstack/nova,nova/scheduler,nova/exception,7
openstack/nova,nova/scheduler,nova/objects,15
openstack/nova,nova/scheduler,nova/profiler,1
openstack/nova,nova/scheduler,nova/rpc,3
openstack/nova,nova/scheduler,collections,5
openstack/nova,nova/scheduler,re,1
openstack/nova,nova/scheduler,sys,1
openstack/nova,nova/scheduler,typing,2
openstack/nova,nova/scheduler,urllib,1
openstack/nova,nova/scheduler,os_resource_classes,2
openstack/nova,nova/scheduler,os_traits,3
openstack/nova,nova/scheduler,oslo_log,20
openstack/nova,nova/scheduler,oslo_serialization,4
openstack/nova,nova/scheduler,nova/compute,4
openstack/nova,nova/scheduler,nova/context,4
openstack/nova,nova/scheduler,nova/i18n,4
openstack/nova,nova/scheduler,nova/virt,4
openstack/nova,nova/scheduler,functools,3
openstack/nova,nova/scheduler,oslo_utils,5
openstack/nova,nova/scheduler,nova/network,1
openstack/nova,nova/scheduler,time,2
openstack/nova,nova/scheduler,iso8601,1
openstack/nova,nova/scheduler,nova/pci,1
openstack/nova,nova/scheduler,nova/utils,2
openstack/nova,nova/scheduler,copy,2
openstack/nova,nova/scheduler,random,2
openstack/nova,nova/scheduler,oslo_service,1
openstack/nova,nova/scheduler,nova/manager,1
openstack/nova,nova/scheduler,nova/quota,1
openstack/nova,nova/scheduler,nova/servicegroup,2
openstack/nova,nova/scheduler,operator,2
openstack/nova,nova/scheduler,nova/filters,1
openstack/nova,nova/scheduler,distutils,1
openstack/nova,nova/scheduler,netaddr,1
openstack/nova,nova/scheduler,oslo_config,1
openstack/nova,nova/scheduler,nova/weights,1
openstack/nova,nova/scheduler,contextlib,1
openstack/nova,nova/scheduler,keystoneauth1,1
openstack/nova,nova/scheduler,oslo_middleware,1
openstack/nova,nova/scheduler,retrying,1
openstack/nova,nova/objects,copy,6
openstack/nova,nova/objects,oslo_db,16
openstack/nova,nova/objects,oslo_log,17
openstack/nova,nova/objects,oslo_serialization,19
openstack/nova,nova/objects,oslo_utils,44
openstack/nova,nova/objects,sqlalchemy,18
openstack/nova,nova/objects,nova/compute,6
openstack/nova,nova/objects,nova/db,55
openstack/nova,nova/objects,nova/exception,28
openstack/nova,nova/objects,contextlib,2
openstack/nova,nova/objects,typing,2
openstack/nova,nova/objects,oslo_config,1
openstack/nova,nova/objects,nova/availability_zones,2
openstack/nova,nova/objects,nova/i18n,9
openstack/nova,nova/objects,nova/network,2
