project,directory,in_weight,in_degree,out_weight,out_degree,static_hub_score
openstack/cinder,OpenSSL,2.0,1.0,0.0,0.0,1.0
openstack/cinder,__future__,25.0,8.0,0.0,0.0,8.0
openstack/cinder,__original_module_threading,5.0,2.0,0.0,0.0,2.0
openstack/cinder,_io,1.0,1.0,0.0,0.0,1.0
openstack/cinder,abc,15.0,6.0,0.0,0.0,6.0
openstack/cinder,alembic,9.0,2.0,0.0,0.0,2.0
openstack/cinder,ast,17.0,3.0,0.0,0.0,3.0
openstack/cinder,barbicanclient,1.0,1.0,0.0,0.0,1.0
openstack/cinder,base64,11.0,2.0,0.0,0.0,2.0
openstack/cinder,binascii,8.0,3.0,0.0,0.0,3.0
openstack/cinder,boto3,1.0,1.0,0.0,0.0,1.0
openstack/cinder,botocore,5.0,2.0,0.0,0.0,2.0
openstack/cinder,builtins,1.0,1.0,0.0,0.0,1.0
openstack/cinder,bz2,5.0,2.0,0.0,0.0,2.0
openstack/cinder,capacity,1.0,1.0,0.0,0.0,1.0
openstack/cinder,castellan,30.0,5.0,0.0,0.0,5.0
openstack/cinder,cinder,4.0,2.0,305.0,75.0,77.0
openstack/cinder,cinder/api,216.0,4.0,532.0,51.0,55.0
openstack/cinder,cinder/backup,49.0,6.0,182.0,67.0,73.0
openstack/cinder,cinder/brick,5.0,2.0,10.0,10.0,12.0
openstack/cinder,cinder/cmd,11.0,2.0,153.0,45.0,47.0
openstack/cinder,cinder/common,119.0,10.0,15.0,12.0,22.0
openstack/cinder,cinder/compute,8.0,4.0,16.0,10.0,14.0
openstack/cinder,cinder/context,282.0,10.0,0.0,0.0,10.0
openstack/cinder,cinder/coordination,48.0,6.0,0.0,0.0,6.0
openstack/cinder,cinder/db,196.0,13.0,104.0,23.0,36.0
openstack/cinder,cinder/exception,566.0,18.0,0.0,0.0,18.0
openstack/cinder,cinder/flow_utils,10.0,2.0,0.0,0.0,2.0
openstack/cinder,cinder/group,15.0,2.0,24.0,13.0,15.0
openstack/cinder,cinder/i18n,301.0,17.0,0.0,0.0,17.0
openstack/cinder,cinder/image,54.0,4.0,79.0,38.0,42.0
openstack/cinder,cinder/interface,101.0,4.0,5.0,4.0,8.0
openstack/cinder,cinder/keymgr,8.0,5.0,29.0,14.0,19.0
openstack/cinder,cinder/manager,6.0,4.0,0.0,0.0,4.0
openstack/cinder,cinder/message,34.0,7.0,7.0,6.0,13.0
openstack/cinder,cinder/objects,390.0,13.0,97.0,18.0,31.0
openstack/cinder,cinder/policies,98.0,7.0,36.0,4.0,11.0
openstack/cinder,cinder/policy,12.0,6.0,0.0,0.0,6.0
openstack/cinder,cinder/privsep,10.0,2.0,10.0,4.0,6.0
openstack/cinder,cinder/quota,38.0,9.0,0.0,0.0,9.0
openstack/cinder,cinder/quota_utils,9.0,5.0,0.0,0.0,5.0
openstack/cinder,cinder/rpc,28.0,9.0,0.0,0.0,9.0
openstack/cinder,cinder/scheduler,44.0,7.0,134.0,39.0,46.0
openstack/cinder,cinder/service,14.0,5.0,0.0,0.0,5.0
openstack/cinder,cinder/service_auth,7.0,5.0,0.0,0.0,5.0
openstack/cinder,cinder/ssh_utils,19.0,4.0,0.0,0.0,4.0
openstack/cinder,cinder/tests,0.0,0.0,3825.0,137.0,137.0
openstack/cinder,cinder/transfer,6.0,3.0,20.0,16.0,19.0
openstack/cinder,cinder/utils,153.0,12.0,0.0,0.0,12.0
openstack/cinder,cinder/version,18.0,5.0,0.0,0.0,5.0
openstack/cinder,cinder/volume,842.0,13.0,2296.0,124.0,137.0
openstack/cinder,cinder/wsgi,6.0,3.0,20.0,15.0,18.0
openstack/cinder,cinder/zonemanager,63.0,3.0,101.0,19.0,22.0
openstack/cinder,collections,35.0,8.0,0.0,0.0,8.0
openstack/cinder,contextlib,15.0,6.0,0.0,0.0,6.0
openstack/cinder,copy,77.0,5.0,0.0,0.0,5.0
openstack/cinder,cryptography,11.0,3.0,0.0,0.0,3.0
openstack/cinder,cursive,2.0,1.0,0.0,0.0,1.0
openstack/cinder,datetime,60.0,11.0,0.0,0.0,11.0
openstack/cinder,ddt,181.0,1.0,0.0,0.0,1.0
openstack/cinder,decimal,1.0,1.0,0.0,0.0,1.0
openstack/cinder,decorator,2.0,2.0,0.0,0.0,2.0
openstack/cinder,distutils,1.0,1.0,0.0,0.0,1.0
openstack/cinder,enum,6.0,3.0,0.0,0.0,3.0
openstack/cinder,errno,24.0,6.0,0.0,0.0,6.0
openstack/cinder,eventlet,67.0,8.0,0.0,0.0,8.0
openstack/cinder,fcntl,1.0,1.0,0.0,0.0,1.0
openstack/cinder,filecmp,4.0,1.0,0.0,0.0,1.0
openstack/cinder,fixtures,13.0,1.0,0.0,0.0,1.0
openstack/cinder,fnmatch,3.0,2.0,0.0,0.0,2.0
openstack/cinder,functools,30.0,7.0,0.0,0.0,7.0
openstack/cinder,gettext,1.0,1.0,0.0,0.0,1.0
openstack/cinder,glanceclient,5.0,3.0,0.0,0.0,3.0
openstack/cinder,glob,2.0,2.0,0.0,0.0,2.0
openstack/cinder,google,2.0,1.0,0.0,0.0,1.0
openstack/cinder,google_auth_httplib2,1.0,1.0,0.0,0.0,1.0
openstack/cinder,googleapiclient,4.0,2.0,0.0,0.0,2.0
openstack/cinder,hacking,1.0,1.0,0.0,0.0,1.0
openstack/cinder,hashlib,11.0,4.0,0.0,0.0,4.0
openstack/cinder,heapq,2.0,1.0,0.0,0.0,1.0
openstack/cinder,hmac,1.0,1.0,0.0,0.0,1.0
openstack/cinder,hpe3parclient,6.0,1.0,0.0,0.0,1.0
openstack/cinder,http,95.0,3.0,0.0,0.0,3.0
openstack/cinder,importlib,2.0,2.0,0.0,0.0,2.0
openstack/cinder,importlib_metadata,1.0,1.0,0.0,0.0,1.0
openstack/cinder,infi,2.0,1.0,0.0,0.0,1.0
openstack/cinder,infinisdk,1.0,1.0,0.0,0.0,1.0
openstack/cinder,inspect,18.0,7.0,0.0,0.0,7.0
openstack/cinder,io,12.0,3.0,0.0,0.0,3.0
openstack/cinder,ipaddress,5.0,1.0,0.0,0.0,1.0
openstack/cinder,iso8601,12.0,2.0,0.0,0.0,2.0
openstack/cinder,itertools,10.0,8.0,0.0,0.0,8.0
openstack/cinder,json,84.0,6.0,0.0,0.0,6.0
openstack/cinder,jsonschema,2.0,1.0,0.0,0.0,1.0
