project,dir1,dir2,cochange_count
openstack/cinder,cinder/tests,cinder/volume,1460
openstack/cinder,cinder,cinder/tests,197
openstack/cinder,cinder,cinder/volume,166
openstack/cinder,cinder/api,cinder/tests,166
openstack/cinder,cinder/backup,cinder/tests,143
openstack/cinder,cinder/image,cinder/tests,121
openstack/cinder,cinder/db,cinder/tests,116
openstack/cinder,cinder/api,cinder/volume,85
openstack/cinder,cinder/image,cinder/volume,84
openstack/cinder,cinder/cmd,cinder/tests,55
openstack/cinder,cinder/scheduler,cinder/tests,53
openstack/cinder,cinder/backup,cinder/volume,51
openstack/cinder,cinder/objects,cinder/tests,46
openstack/cinder,cinder,cinder/api,40
openstack/cinder,cinder/db,cinder/volume,38
openstack/cinder,cinder/policies,cinder/tests,36
openstack/cinder,cinder,cinder/backup,33
openstack/cinder,cinder/scheduler,cinder/volume,30
openstack/cinder,cinder/api,cinder/db,30
openstack/cinder,cinder/db,cinder/objects,29
openstack/cinder,cinder,cinder/cmd,28
openstack/cinder,cinder,cinder/db,28
openstack/cinder,cinder/backup,cinder/scheduler,26
openstack/cinder,cinder/objects,cinder/volume,26
openstack/cinder,cinder/cmd,cinder/db,24
openstack/cinder,cinder/backup,cinder/objects,23
openstack/cinder,cinder,cinder/scheduler,22
openstack/cinder,cinder/cmd,cinder/volume,22
openstack/cinder,cinder/interface,cinder/volume,22
openstack/cinder,cinder/brick,cinder/tests,22
openstack/glance,glance/common,glance/tests,186
openstack/glance,glance/api,glance/tests,179
openstack/glance,glance/async_,glance/tests,104
openstack/glance,glance/db,glance/tests,93
openstack/glance,glance,glance/tests,79
openstack/glance,glance/api,glance/common,67
openstack/glance,glance/async_,glance/common,46
openstack/glance,glance/cmd,glance/tests,45
openstack/glance,glance,glance/common,43
openstack/glance,glance/policies,glance/tests,39
openstack/glance,glance,glance/api,37
openstack/glance,glance/cmd,glance/common,37
openstack/glance,glance/api,glance/db,31
openstack/glance,glance/api,glance/async_,31
openstack/glance,glance/domain,glance/tests,26
openstack/glance,glance/common,glance/db,26
openstack/glance,glance/image_cache,glance/tests,24
openstack/glance,glance/api,glance/cmd,24
openstack/glance,glance/api,glance/policies,23
openstack/glance,glance/api,glance/domain,20
openstack/glance,glance/cmd,glance/db,20
openstack/glance,glance/api,glance/image_cache,19
openstack/glance,glance,glance/db,19
openstack/glance,glance/db,glance/domain,19
openstack/glance,glance,glance/cmd,18
openstack/glance,glance/common,glance/image_cache,17
openstack/glance,glance,glance/domain,16
openstack/glance,glance/quota,glance/tests,14
openstack/glance,glance/common,glance/domain,14
openstack/glance,glance,glance/async_,12
openstack/heat,heat/engine,heat/tests,299
openstack/heat,heat/common,heat/tests,59
openstack/heat,heat/common,heat/engine,46
openstack/heat,heat/db,heat/tests,40
openstack/heat,heat/api,heat/tests,34
openstack/heat,heat/tests,heat_integrationtests,26
openstack/heat,heat/engine,heat_integrationtests,25
openstack/heat,heat/db,heat/engine,21
openstack/heat,heat/engine,heat/objects,14
openstack/heat,heat/api,heat/common,13
openstack/heat,heat/objects,heat/tests,13
openstack/heat,heat/cmd,heat/tests,12
openstack/heat,heat/policies,heat/tests,11
openstack/heat,heat/db,heat/objects,11
openstack/heat,heat/common,heat/db,10
openstack/heat,heat/api,heat/engine,6
openstack/heat,heat/common,heat_integrationtests,6
openstack/heat,heat/cmd,heat/common,6
openstack/heat,heat/cmd,heat/engine,6
openstack/heat,heat/api,heat/policies,6
openstack/heat,heat/common,heat/objects,5
openstack/heat,heat/engine,heat/policies,5
openstack/heat,heat/cmd,heat/db,5
openstack/heat,heat/rpc,heat/tests,4
openstack/heat,heat/engine,heat/rpc,4
openstack/heat,heat/hacking,heat/tests,3
openstack/heat,heat/cloudinit,heat/tests,3
openstack/heat,heat/api,heat/cmd,3
openstack/heat,heat/api,heat/objects,2
openstack/heat,heat/common,heat/policies,2
openstack/horizon,openstack_auth,openstack_dashboard,70
openstack/horizon,horizon/test,openstack_dashboard,41
openstack/horizon,horizon/locale,openstack_dashboard,35
openstack/horizon,horizon/static,openstack_dashboard,30
openstack/horizon,horizon,openstack_dashboard,25
openstack/horizon,horizon/utils,openstack_dashboard,23
openstack/horizon,horizon/tables,openstack_dashboard,21
openstack/horizon,horizon/locale,openstack_auth,19
openstack/horizon,horizon,horizon/test,14
openstack/horizon,horizon,horizon/tables,13
openstack/horizon,horizon/templatetags,openstack_dashboard,13
openstack/horizon,horizon/test,horizon/utils,12
openstack/horizon,horizon/test,horizon/workflows,11
openstack/horizon,horizon/templates,openstack_dashboard,10
openstack/horizon,horizon,horizon/forms,10
openstack/horizon,horizon/tables,horizon/test,9
openstack/horizon,horizon/tables,horizon/utils,9
openstack/horizon,horizon/utils,openstack_auth,9
openstack/horizon,horizon/static,horizon/templates,8
openstack/horizon,horizon,horizon/utils,8
openstack/horizon,horizon,horizon/workflows,8
openstack/horizon,horizon/forms,horizon/tables,8
openstack/horizon,horizon/forms,horizon/utils,8
openstack/horizon,horizon/forms,openstack_dashboard,8
openstack/horizon,horizon/tables,horizon/workflows,8
