repo,team,tier,n_rows,n_changes,n_reviewers,n_owners,acceptance_rate,first_review,last_review,active_months,rows_per_month
openstack/adjutant,adjutant,極小,76,57,17,25,0.4868421052631579,2017-12-06 20:32:11,2025-09-13 22:27:00,93.23258869908015,0.8151656095842142
openstack/adjutant-ui,adjutant,極小,66,42,18,19,0.5606060606060606,2018-11-28 12:15:14,2025-09-13 22:32:50,81.50459921156373,0.809770253929867
openstack/aetos,Telemetry,小,150,51,8,5,0.7533333333333333,2025-04-11 08:50:18,2025-12-10 18:40:08,7.982917214191852,18.790123456790123
openstack/ansible-role-atos-hsm,barbican,小,40,17,14,6,0.5,2019-12-19 16:20:12,2023-09-26 14:43:12,45.203679369250985,0.8848837209302326
openstack/ansible-role-lunasa-hsm,barbican,小,85,39,8,7,0.7764705882352941,2020-04-27 20:58:49,2025-05-15 18:30:55,60.545335085413925,1.403906673901248
openstack/ansible-role-thales-hsm,barbican,小,78,34,12,6,0.7051282051282052,2020-04-29 20:27:03,2024-09-23 09:31:27,52.79237844940867,1.477485998755445
openstack/aodh,Telemetry,小,677,294,65,62,0.534711964549483,2016-02-29 14:57:31,2025-11-23 02:24:51,116.75427069645202,5.798503095104109
openstack/barbican,barbican,小,1238,449,102,78,0.37075928917609047,2017-04-05 18:47:21,2025-09-11 16:22:41,101.18265440210249,12.235298701298703
openstack/barbican-specs,barbican,小,65,17,24,13,0.3384615384615385,2014-06-06 01:57:43,2025-04-14 12:12:32,130.2562417871222,0.49901639344262294
openstack/barbican-tempest-plugin,barbican,小,545,140,68,42,0.26788990825688075,2017-03-11 11:10:34,2025-11-06 22:15:46,103.87647831800263,5.246616065781152
openstack/barbican-ui,barbican,小,38,15,19,10,0.23684210526315788,2020-01-14 12:04:01,2023-05-05 06:10:02,39.61892247043364,0.9591376451077944
openstack/bifrost,ironic,大,2312,966,90,77,0.7387543252595156,2015-08-21 07:23:32,2025-12-16 15:59:45,123.85019710906701,18.66771352785146
openstack/blazar,blazar,小,396,199,48,42,0.48484848484848486,2018-07-11 02:13:08,2025-10-31 08:45:36,87.68068331143232,4.516388160359686
openstack/blazar-dashboard,blazar,小,99,43,19,14,0.6666666666666666,2019-10-24 03:26:30,2025-06-12 15:20:36,67.6084099868594,1.4643148688046645
openstack/blazar-nova,blazar,小,62,41,16,11,0.6612903225806451,2018-07-11 02:08:15,2025-09-22 10:22:29,86.39947437582128,0.717596958174905
openstack/blazar-specs,blazar,小,57,17,20,10,0.3684210526315789,2019-06-05 18:16:31,2021-10-21 14:19:13,28.515111695137975,1.9989400921658986
openstack/blazar-tempest-plugin,blazar,小,101,52,14,16,0.6831683168316832,2019-10-28 02:18:12,2025-11-06 22:15:30,72.30617608409986,1.396837800999546
