feature,mean,std,min,p50,p75,p90,p95,p99,max,n
window_tenure_days,53.884639356337466,70.56264297960408,0.0,0.0,127.0,172.0,177.0,179.0,179.0,52947
total_reviews,8.288004986118194,41.43789794867307,0.0,0.0,2.0,10.0,35.0,191.54000000000087,1196.0,52947
total_changes,7.904999338961603,43.02406058867669,0.0,0.0,0.0,13.0,35.0,154.0,1135.0,52947
total_activity,16.193004325079798,72.92320952020883,0.0,0.0,3.0,27.0,74.0,309.5400000000009,1633.0,52947
recent_review_count_30d,1.469280601356073,7.641287326487105,0.0,0.0,0.0,2.0,6.0,34.0,272.0,52947
mean_activity_gap_days,21.134936297072525,26.546783267264612,0.0,11.457925302706553,27.758600983796295,53.23657986111111,76.70783478009255,131.22939108796302,175.70686342592592,13632
median_activity_gap_days,18.45142460066388,27.252554553627025,0.0,6.870520833333334,23.22587094907407,53.72018865740734,76.73744212962963,131.22939108796302,175.70686342592592,13632
std_activity_gap_days,15.118073831314883,15.896634068639194,0.0,10.003384166621013,19.50394183862688,36.06754528685104,48.533375232671794,76.08222533288269,121.90014311478355,10743
days_since_last_activity,54.13927005908138,52.71487646359972,0.0,36.0,92.0,141.0,159.0,175.0,179.0,20988
unique_collaborators,6.2936756146294845,12.877289274617512,0.0,2.0,5.0,17.0,29.0,66.0,175.0,23022
repeated_collaborators,2.374771957258275,6.379263884830984,0.0,0.0,2.0,7.0,12.0,32.0,103.0,23022
repeat_collaboration_rate_raw,0.24012493638038004,0.31244449765774657,0.0,0.0,0.4444444444444444,0.6666666666666666,1.0,1.0,1.0,20988
accepted_count,12.786258814560702,52.27374360872842,0.0,1.0,4.0,25.0,59.0,228.13000000000102,1171.0,20988
rejected_count,8.122117400419286,18.409714081706156,0.0,2.0,6.0,22.0,40.0,93.0,224.0,20988
acceptance_rate_raw,0.36397855182297695,0.3817598323746993,0.0,0.2857142857142857,0.6666666666666666,1.0,1.0,1.0,1.0,20988
recent_acceptance_rate_raw,0.40810088028097413,0.4084655119665285,0.0,0.3333333333333333,0.8181818181818182,1.0,1.0,1.0,1.0,9713
raw_mean_change_lines,254.37198769038918,713.3263397014365,0.0,97.86335403726707,232.5,503.2949999999999,916.0,3031.9500000000153,33149.0,20988
raw_median_change_lines,180.43901276920144,653.589633133776,0.0,49.0,124.0,343.14999999999964,660.0,2522.980000000047,33149.0,20988
raw_std_change_lines,409.89433259900864,1248.892386562336,0.0,156.28114643670796,376.1808075912433,921.2855710135931,1485.1250657290984,3594.5914642974412,42621.727284074994,13632
raw_max_change_lines,1337.676243567753,6849.58086991702,0.0,224.0,902.0,3197.0,5233.0,16029.0,221493.0,20988
raw_mean_files,5.736240282007789,8.458225765966546,1.0,3.9545454545454546,6.0,10.0,15.0,44.0,242.0,20988
raw_median_files,4.653301886792453,7.702224144642331,1.0,3.0,5.0,9.0,13.0,39.0,242.0,20988
raw_std_files,6.142667495819667,11.091660115867503,0.0,3.5355339059327378,6.685374387958738,12.767027722712266,19.361260095951724,47.37615433949868,266.5792565073284,13632
raw_max_files,19.880693729750334,43.446909509494574,1.0,7.0,18.0,44.0,73.0,257.0,419.0,20988
raw_mean_response_days,180.5160240160907,362.58721182317197,0.0005092592592592592,35.262775194279094,160.0567939814815,530.5803819444444,908.1659375,1892.0263856481495,2608.4055709876543,17529
raw_median_response_days,164.62437199505897,365.7875659416427,0.0005092592592592592,14.23105324074074,125.85924768518518,519.0178472222223,895.3721412037037,1899.5117939814816,2639.3356712962964,17529
raw_std_response_days,102.24081543731508,155.46054032931295,0.0,47.28163214326699,123.8433219341427,263.42541294932363,377.8978514942309,808.7495796990481,1579.7417028407126,11440
raw_max_response_days,339.0074730334441,481.9574106847843,0.0005092592592592592,129.42108796296296,455.8093865740741,1013.8429398148148,1532.205787037037,2144.41715000001,2648.9102430555554,17529
active_months,1.066122726500085,1.779990607152902,0.0,0.0,1.0,4.0,6.0,6.0,6.0,52947
