project,n_dirs,n_high_risk,n_medium_risk,n_low_risk,high_risk_rate,at_risk_rate
glance,12,4,7,1,0.3333333333333333,0.9166666666666666
heat,18,4,11,3,0.2222222222222222,0.8333333333333334
horizon,28,9,12,7,0.32142857142857145,0.75
octavia,40,11,17,12,0.275,0.7
swift,21,6,7,8,0.2857142857142857,0.6190476190476191
nova,42,8,16,18,0.19047619047619047,0.5714285714285714
ironic,20,3,8,9,0.15,0.55
keystone,20,2,9,9,0.1,0.55
neutron,35,5,10,20,0.14285714285714285,0.42857142857142855
cinder,32,1,9,22,0.03125,0.3125
