directory,eval_window,predicted_count,actual_count,n_past_devs,delta
openstack_auth,0-3,1.6687878221273422,5,5,-3.3312121778726578
nova/policies,0-3,2.1000356376171108,16,6,-13.899964362382889
swift,0-3,0.2906849682331085,1,2,-0.7093150317668915
glance/cmd,0-3,1.167304515838623,6,6,-4.832695484161377
neutron/db,0-3,9.752986200153828,17,26,-7.247013799846172
horizon/test,0-3,0.0,4,0,-4.0
openstack_dashboard/usage,0-3,0.0,4,0,-4.0
test/cors,0-3,0.544719949364662,0,3,0.544719949364662
octavia/common,0-3,6.111545227468013,6,25,0.11154522746801288
neutron/conf,0-3,7.866111665964126,34,22,-26.133888334035873
specs/version0.5,0-3,1.279895797371864,1,6,0.2798957973718641
openstack_dashboard/templates,0-3,0.0,5,0,-5.0
octavia,0-3,0.1941159069538116,0,1,0.1941159069538116
neutron/privileged,0-3,5.43461413681507,9,16,-3.56538586318493
nova/conductor,0-3,5.381119862198829,16,18,-10.61888013780117
api-guide/source,0-3,2.978797875344753,18,11,-15.021202124655247
openstack_dashboard/static,0-3,2.856724172830581,7,10,-4.143275827169418
nova/console,0-3,2.824584454298019,10,9,-7.175415545701981
roles/fetch_journal_log,0-3,0.3555704355239868,0,2,0.3555704355239868
cinder/policies,0-3,0.0,24,0,-24.0
test/functional,0-3,1.9835989251732824,11,7,-9.016401074826717
glance/tests,0-3,4.474546901881695,16,14,-11.525453098118305
zuul.d,0-3,17.093527987599373,29,38,-11.906472012400627
horizon/templates,0-3,0.6967661827802658,5,3,-4.303233817219734
keystone/tests,0-3,6.8787813261151305,11,27,-4.1212186738848695
doc/source,0-3,52.78168473392724,132,152,-79.21831526607275
cinder/tests,0-3,34.81711480766535,89,101,-54.18288519233465
nova/storage,0-3,0.0,16,0,-16.0
swift/common,0-3,5.029608391225338,15,14,-9.970391608774662
playbooks/ci-workarounds,0-3,0.6065710633993149,0,3,0.6065710633993149
devstack/upgrade,0-3,2.077604427933693,7,9,-4.922395572066307
heat/scaling,0-3,0.0,2,0,-2.0
nova/privsep,0-3,0.5127032697200775,19,2,-18.487296730279922
playbooks,0-3,3.658589512109756,3,12,0.658589512109756
glance/common,0-3,2.233650118112564,14,7,-11.766349881887436
glance/db,0-3,1.5606989264488218,0,5,1.5606989264488218
neutron/pecan_wsgi,0-3,2.450319528579712,0,8,2.450319528579712
playbooks/metal3-ci,0-3,1.2207221537828443,4,4,-2.7792778462171555
octavia/compute,0-3,0.0,3,0,-3.0
nova/api,0-3,7.455438382923603,27,19,-19.544561617076397
docker/install_scripts,0-3,0.1190495193004608,0,1,0.1190495193004608
ironic/objects,0-3,3.219987742602825,8,10,-4.780012257397175
glance/image_cache,0-3,0.2783663868904114,2,1,-1.7216336131095886
nova/scheduler,0-3,5.437196761369705,24,16,-18.562803238630295
roles/setup-selenium-tests,0-3,1.3422341793775556,0,6,1.3422341793775556
octavia/network,0-3,2.769108533859253,3,8,-0.23089146614074707
devstack/lib,0-3,8.1272501796484,7,26,1.1272501796483994
test/probe,0-3,2.792681783437729,8,7,-5.207318216562271
keystone/oauth1,0-3,0.0,4,0,-4.0
neutron/server,0-3,0.0,4,0,-4.0
openstack_dashboard/dashboards,0-3,6.47779169678688,9,19,-2.5222083032131204
keystone/revoke,0-3,0.6701114028692244,0,4,0.6701114028692244
devstack/files,0-3,1.3677363097667692,1,6,0.3677363097667692
glance,0-3,1.5226423144340515,1,5,0.5226423144340515
nova/hacking,0-3,1.2611410915851593,0,5,1.2611410915851593
heat_integrationtests/functional,0-3,0.8666592091321944,0,4,0.8666592091321944
heat/cmd,0-3,0.0,4,0,-4.0
roles/run-heat-tests,0-3,0.0,5,0,-5.0
