coverage_bin,period,n,continuation_rate,irl_auc,rf_auc
no_neighbors,0-3m,1225,0.3926530612244898,0.7956570093666868,0.7573407775020679
no_neighbors,3-6m,1225,0.31755102040816324,0.8330770839227071,0.7819645514815317
no_neighbors,6-9m,1225,0.3248979591836735,0.768423435192893,0.7569194217763544
no_neighbors,9-12m,1225,0.2595918367346939,0.7259401024872931,0.7700415357838752
0%,0-3m,70,0.14285714285714285,0.8816666666666667,0.7008333333333334
0%,3-6m,70,0.07142857142857142,0.5076923076923077,0.2615384615384615
0%,6-9m,70,0.12857142857142856,0.7249544626593807,0.40072859744990885
0%,9-12m,70,0.1,0.6780045351473922,0.7528344671201814
0-25%,0-3m,320,0.2625,0.6545096852300243,0.541817998385795
0-25%,3-6m,320,0.1625,0.6964336969001148,0.6169991389207807
0-25%,6-9m,320,0.15625,0.6322962962962964,0.6298148148148148
0-25%,9-12m,320,0.175,0.5380478896103896,0.6450892857142857
25-50%,0-3m,278,0.26618705035971224,0.7609631690514043,0.7236685214626392
25-50%,3-6m,278,0.26618705035971224,0.7687798092209857,0.7654676735559088
25-50%,6-9m,278,0.24820143884892087,0.8323971985299217,0.7956452395811664
25-50%,9-12m,278,0.2158273381294964,0.6986238532110092,0.8317278287461773
50%+,0-3m,1157,0.6266205704407951,0.8603671775223498,0.8255507662835249
50%+,3-6m,1157,0.6084701815038893,0.817140778647401,0.8040258754766204
50%+,6-9m,1157,0.526361279170268,0.7562340440832763,0.7512345235098822
50%+,9-12m,1157,0.47796024200518583,0.729351041279954,0.7802668766391627
