project,n,spearman,pearson
openstack/cinder,23,0.6285462615329617,0.39638826991576037
openstack/glance,12,0.6994429116091601,0.5769953338997713
openstack/heat,14,0.8146749755643292,0.7989967281510203
openstack/horizon,15,0.8913979673156394,0.7676833594453243
openstack/ironic,12,0.9017599369819174,0.8368297225662198
openstack/keystone,25,0.4252830072055563,0.39481422705997793
openstack/neutron,25,0.3653818577128451,0.22862718332359067
openstack/nova,26,0.8397536306735616,0.5774889628579449
openstack/octavia,17,0.7729250456740607,0.7376803441859934
openstack/swift,8,0.9697815168769668,0.8644131747812434
ALL,177,0.2794890074675014,0.26701015590882005
