feature,feature_ja,category,irl_share_avg,rf_share_avg,share_diff,irl_rank_avg,rf_rank_avg,rank_diff,irl_signed_avg,irl_share_0-3m,rf_share_0-3m,irl_rank_0-3m,rf_rank_0-3m,irl_signed_0-3m,irl_share_3-6m,rf_share_3-6m,irl_rank_3-6m,rf_rank_3-6m,irl_signed_3-6m,irl_share_6-9m,rf_share_6-9m,irl_rank_6-9m,rf_rank_6-9m,irl_signed_6-9m,irl_share_9-12m,rf_share_9-12m,irl_rank_9-12m,rf_rank_9-12m,irl_signed_9-12m
experience_days,経験日数,state,0.09601720985186754,0.015276997697052716,0.08074021215481482,1.75,20.75,19.0,-0.010897905565798283,0.087804175628201,0.016393182808385188,3,17,-0.010674137622117996,0.09531768251609217,0.015314424858667686,1,22,-0.011748315766453743,0.09615900852846797,0.015428604406599681,1,21,-0.01243097335100174,0.104787972734709,0.013971778714558312,2,23,-0.008738195523619652
path_review_count,パスレビュー件数,path,0.09154243232751298,0.20770753198525543,-0.11616509965774245,1.75,1.25,-0.5,0.009607085725292563,0.08903985452104105,0.21036850076998853,2,2,0.00934247300028801,0.09181307847366164,0.20530402577968282,2,1,0.010206631384789944,0.07724272251125523,0.21284747026952855,2,1,0.009765285067260265,0.10807407380409399,0.20231013112182178,1,1,0.009113953448832035
review_load,レビュー負荷,state,0.08243730094330559,0.034503888099781645,0.04793341284352395,2.5,6.25,3.75,0.0065717214602045715,0.08994111407649714,0.026909593472164144,1,8,0.009656987152993679,0.09059510228157804,0.03136973679793048,3,8,0.0034969185944646597,0.07602598312799491,0.03442530222604576,3,5,0.008187799714505672,0.07318700428715227,0.04531091990298619,3,4,0.004945180378854275
path_recency,パス新しさ,path,0.057257450606688166,0.19335783027979273,-0.13610037967310457,6.5,1.75,-4.75,0.004710257548140362,0.07921904226911122,0.22164297309855732,4,1,0.008635320700705051,0.07167245327485337,0.18337468815283603,4,2,0.005570211447775364,0.04647023477811663,0.19930789555267717,7,2,0.003647899255156517,0.03166807210467144,0.1691057643151004,11,2,0.0009875987889245152
response_time_trend,応答速度トレンド,state,0.0563358970539756,0.018436693582975915,0.03789920347099968,5.5,17.0,11.5,-0.006086428766138852,0.053975277328476005,0.014537347701596108,5,20,-0.005986697971820831,0.06310391320300247,0.021462358282933403,5,12,-0.007536876015365124,0.06926306150050016,0.017483480900717576,4,20,-0.007901242934167385,0.039001336183923735,0.020263587446656565,8,16,-0.0029208981432020664
total_reviews,総レビュー数,state,0.048879070180427454,0.035890286345660875,0.012988783834766579,6.5,5.75,-0.75,-0.005283532082103193,0.042206629829812735,0.03670496772221578,8,5,-0.004635436926037073,0.04299360814142512,0.04060532628059955,8,5,-0.005068926606327295,0.05595631746320687,0.0326470777091839,5,6,-0.00684994226321578,0.0543597252872651,0.03360377367064428,5,7,-0.0045798225328326225
recent_activity_frequency,最近の活動頻度,state,0.04608987537425173,0.02702274779741714,0.01906712757683459,6.75,10.0,3.25,0.004385288106277585,0.03951960752057434,0.026150575773957827,9,10,0.003985099494457245,0.046961969840046525,0.033442832191860436,6,7,0.004674964584410191,0.050426988431827476,0.026495834701559303,6,10,0.005733591038733721,0.04745093570455857,0.022001748522290993,6,13,0.003147497307509184
active_months_ratio,活動月割合,state,0.04187520483838746,0.027751531767511994,0.014123673070875468,9.25,11.5,2.25,0.0042069340124726295,0.030260367925804797,0.01237593140257132,16,23,0.0028228526934981346,0.04093333265110852,0.041284588157478416,9,4,0.00479225255548954,0.041767029826302204,0.0361176769612636,8,4,0.005097643006592989,0.054540088950334326,0.02122793054873465,4,15,0.0041149877943098545
collaboration_score,協力スコア,state,0.03999899050041769,0.01594848806370819,0.024050502436709503,9.5,19.75,10.25,-0.003832421585684642,0.050041973949342934,0.01363855179469228,6,21,-0.005584863945841789,0.04401039258373243,0.02139378500528136,7,13,-0.00457441620528698,0.034676509904098894,0.014262158545199497,11,23,-0.0036076537799090147,0.03126708556449652,0.01449945690965962,14,22,-0.0015627524117007852
load_trend,負荷トレンド,state,0.031767526294683865,0.01171483407552214,0.020052692219161727,14.5,25.0,10.5,0.0020603511948138475,0.04712212842803123,0.008380397182873494,7,27,0.0030267364345490932,0.025283494540394375,0.008803890338470058,17,28,0.0016066476237028837,0.023007179920367694,0.011223761170685798,22,25,0.001421189634129405,0.031657302289942145,0.018451287610059208,12,20,0.002186831086874008
activity_trend,月次活動変化率,state,0.0316386849651596,0.008893338655161655,0.022745346309997944,14.0,27.25,13.25,-0.0031601978989783674,0.02950387130051546,0.007941291006704912,17,28,-0.0033830043394118547,0.017159446786278818,0.009685593369762133,23,25,-0.0015681666554883122,0.0373521809622522,0.00909885515301361,9,28,-0.004783135838806629,0.04253924081159191,0.008847615091165962,7,28,-0.0029064847622066736
acceptance_rate_last10,直近10件承諾率,state,0.03140847634946495,0.010670391580453641,0.020738084769011306,13.0,26.25,13.25,-0.0017117616080213338,0.030779863425610152,0.010000503068202904,15,25,-0.0010279902489855886,0.03387677612734775,0.00945809462236942,11,27,-0.0017958789831027389,0.02935401643508442,0.009848622171009997,13,27,-0.002383607905358076,0.031623249409817485,0.013374346460232242,13,26,-0.0016395692946389318
core_reviewer_ratio,コアレビュアー率,state,0.03125816239267425,0.036391062874612676,-0.0051329004819384225,13.0,6.0,-7.0,0.002997007279191166,0.03228803987543983,0.04107822702397971,14,4,0.0021653177682310343,0.03174579835364188,0.03842121716466103,13,6,0.003614790039137006,0.025433537794675123,0.030802540858436315,16,8,0.003197493264451623,0.035565273546940175,0.035262266451373654,9,6,0.0030104280449450016
reciprocity_score,相互レビュー率,state,0.030851592185026075,0.015838815823003734,0.015012776362022341,13.25,20.25,7.0,-0.0012999276877962984,0.03629850147353131,0.013365300512993663,10,22,-0.002559709595516324,0.030338758094145313,0.015780621432866827,14,21,-0.0019357784185558558,0.024403595637805506,0.019440144006942963,19,17,-0.001047734753228724,0.032365513534622165,0.014769197339211483,10,21,0.00034351201611571014
recent_rejection_streak,直近拒否連続数,state,0.029495215578752065,0.00965643759939245,0.019838777979359616,15.5,26.25,10.75,-0.0007633970817551017,0.02627481548332675,0.008389146547994964,19,26,-0.0006646973779425025,0.025211594576194228,0.009624375887125898,18,26,-0.0007865976076573133,0.03539606088168382,0.010093367184514966,10,26,-0.0010028489632532,0.031098391373803456,0.010518860777933965,15,27,-0.0005994443781673908
code_quality_score,総承諾率,state,0.02818079834314616,0.020910128905617782,0.0072706694375283785,16.5,13.5,-3.0,0.0006774026114726439,0.03388609268634475,0.018145247377748717,11,14,0.002825995208695531,0.02518489728371785,0.01925234807789621,19,17,0.0005747778341174126,0.023600478950502452,0.023274816437545264,20,12,-0.0005375932087190449,0.030051724452019587,0.02296810372928093,16,11,-0.0001535693882033229
days_since_last_activity,最終活動経過日数,state,0.02790444206476179,0.03231309040697181,-0.004408648342210022,15.75,7.5,-8.25,-0.00308836177282501,0.032845708428048716,0.03394461204993752,13,6,-0.0037669057492166758,0.03591322093602458,0.02545602368071326,10,10,-0.004422259982675314,0.028577561649727367,0.02820039424927441,15,9,-0.0035535828210413456,0.014281277245246497,0.041651331647962066,25,5,-0.0006106985383667052
